title,description,subjects,subject_places,subject_people,subject_times,first_publish_date,author_keys,latest_revision,clean_description,cluster
The papers of George Washington,"The Papers of George Washington, a grant-funded project, established in 1968 at the University of Virginia, under the joint auspices of the University and the Mount Vernon Ladies' Association of the Union, to publish a comprehensive edition of Washington's correspondence. Letters written to Washington as well as letters and documents written by him are being published in the complete edition that will consist of approximately ninety volumes. The work is now (2011) more than two-thirds complete. The edition is supported financially by grants from the National Endowment for the Humanities, the National Historical Publications and Records Commission, the Mount Vernon Ladies' Association, the University of Virginia, and gifts from private foundations and individuals. Today there are copies of over 135,000 Washington documents in the project's document room. This is one of the richest collections of American historical manuscripts extant. There is almost no facet of research on life and enterprise in the late colonial and early national periods that will not be enhanced by material from these documents. The publication of Washington's papers will make this source material available not only to scholars but to all Americans interested in the founding of their nation. - Publisher.","['American Manuscripts', 'Archives', 'Correspondence', 'History', 'Manuscripts', 'Military leadership', 'Politics and government', 'Presidents', 'Sources', 'United States', 'United States French and Indian War, 1755-1763', 'Biography: general', 'Other prose: 16th to 18th centuries', 'c 1700 to c 1800', 'U.S. History - Revolution And Confederation (1775-1789)', 'Biography / Autobiography', 'History: American', 'USA', 'Historical - U.S.', '1732-1799', 'Confederation, 1783-1789', 'Washington, George,', 'Biography: historical', 'Warfare & Defence', 'United States - Revolutionary War', 'Revolution, 1775-1783', 'American history: c 1500 to c 1800', 'American history: c 1800 to c 1900', 'Constitution: government & the state', 'Biography & Autobiography', 'History - U.S.', 'Biography/Autobiography', 'United States - Colonial Period', 'Presidents & Heads of State', '1789-1797', 'United states, politics and government, 1783-1809', 'United states, politics and government, sources', 'Washington, george, 1732-1799', 'Presidents, united states', 'United states, politics and government, 1789-1815', 'United states, history, colonial period, ca. 1600-1775, sources', 'United states, history, revolution, 1775-1783, sources', 'United states, history, 1783-1809', 'Washington, george, 1732-1799, bibliography', 'United states, history, revolution, 1775-1783', 'United states, history, revolution, 1775-1783, personal narratives', 'Presidentes', 'Archivos']","['United States', 'Virginia']",['George Washington (1732-1799)'],"['1789-1797', '1797-1801', 'Colonial period, ca. 1600-1775', 'Confederation, 1783-1789', 'French and Indian War, 1755-1763', 'Revolution, 1775-1783']",,"['OL17013A', 'OL2837592A', 'OL72682A', 'OL3318437A', 'OL3293547A', 'OL3606112A']",21,the papers of george washington a grantfunded project established in 1968 at the university of virginia under the joint auspices of the university and the mount vernon ladies association of the union to publish a comprehensive edition of washingtons correspondence letters written to washington as well as letters and documents written by him are being published in the complete edition that will consist of approximately ninety volumes the work is now 2011 more than twothirds complete the edition is supported financially by grants from the national endowment for the humanities the national historical publications and records commission the mount vernon ladies association the university of virginia and gifts from private foundations and individuals today there are copies of over 135000 washington documents in the projects document room this is one of the richest collections of american historical manuscripts extant there is almost no facet of research on life and enterprise in the late colonial and early national periods that will not be enhanced by material from these documents the publication of washingtons papers will make this source material available not only to scholars but to all americans interested in the founding of their nation publisher,4
What's a Vacation?,Little Mouse and her parents explore the great outdoors on a fun-filled camping trip.,"['Toy and movable books', 'Camping', 'Fiction', 'Vacations', 'Mice', 'Specimens', 'Juvenile fiction', 'Vacations, fiction', 'Camping, fiction', ""Children's fiction"", 'Mice, fiction']",,,,,['OL20106A'],11,little mouse and her parents explore the great outdoors on a funfilled camping trip,14
Bill Gates,"A biography of Bill Gates, focusing on the Seattle business community and the global village that he has helped create through his work as a computer software entrepreneur.","['Biography', 'Businessmen', 'Businesspeople', 'Computer software industry', 'History', 'Juvenile literature', 'Microsoft Corporation', 'United States', 'Gates, bill, 1955-', 'Business, biography', 'Computers']",['United States'],['Bill Gates (1955-)'],,,['OL21377A'],6,a biography of bill gates focusing on the seattle business community and the global village that he has helped create through his work as a computer software entrepreneur,14
The Crippled Lamb,"A lamb who has always felt different and sad because of his black spots and his limp, feels his true worth when he is called upon to help keep the baby Jesus warm.","['Fiction', 'Nativity', 'Sheep', 'Juvenile fiction', 'Self-esteem', 'Christmas', 'Jesus christ, fiction', 'Sheep, fiction', ""Children's fiction"", 'Literature and fiction, juvenile', 'Christmas, fiction', ""Children's films"", 'Animated films']",,['Jesus Christ'],,,['OL21341A'],12,a lamb who has always felt different and sad because of his black spots and his limp feels his true worth when he is called upon to help keep the baby jesus warm,14
Die Trying,"When a woman is kidnapped, Jack Reacher's in the wrong place at the wrong time. He's kidnapped with her. Now he has to save them both.","['Private investigators', 'Kidnapping', 'Jack Reacher (Fictitious character)', 'Revenge', 'Fiction', 'Suspense', 'Hostages', 'Abduction', 'United States', 'United States. Federal Bureau of Investigation', 'Fiction, thrillers, general', 'Chicago (ill.), fiction', 'Montana, fiction', 'Reacher, jack (fictitious character), fiction', 'Private investigators, fiction', 'Fiction, mystery & detective, hard-boiled', 'Illinois, fiction', 'Thriller', 'Large type books', 'Fiction, mystery & detective, general', 'Missing persons, fiction', 'Officials and employees', 'Thrillers (Fiction)', 'Fiction, suspense', 'Fiction, thrillers']","['Chicago (Ill.)', 'Montana', 'Montana country wide', 'Illinois', 'Chicago']",['Jack Reacher (Fictitious character)'],['Mid sixties'],,['OL34328A'],16,when a woman is kidnapped jack reachers in the wrong place at the wrong time hes kidnapped with her now he has to save them both,6
Seán O'Casey,"""In Sean O'Casey: Writer at Work Christopher Murray takes a fresh look at the life of the last of the great writers of the Irish literary revival. Re-exploring the Dublin of O'Casey's childhood and the political situation in the Ireland during his early life, Murray sets them against O'Casey's autobiographies in an attempt to establish 'O'Casey's Ireland'. The second half of O'Casey's life was spent mostly outside Ireland and much of his income came from the United States. Murray examines his rise as an international figure and contrasts his later, more socialist, work with his more nationalist early work."" ""Christopher Murray establishes O'Casey as a self-made man of letters, an irrepressible fighter, a man who combined political courage and innocence, torn between a humanist vision of life rooted in his Dublin childhood and a utopian but blinkered loyalty to the Soviet Union."" ""Sean O'Casey: Writer at Work reconstructs a life committed to writing as a moral endeavour. While acknowledging that much of O'Casey's work was uneven, flawed, and overambitious, Murray argues that at its best it was infused with a passion and generosity that place it among the best bodies of drama in the twentieth century.""--Jacket.","['Biography', 'In literature', 'Irish Dramatists', ""O'casey, sean, 1884-1964"", 'Dramatists, biography', 'Ireland, in literature']",['Ireland'],"[""Sean O'Casey (1880-1964)""]",['20th century'],,['OL39851A'],7,in sean ocasey writer at work christopher murray takes a fresh look at the life of the last of the great writers of the irish literary revival reexploring the dublin of ocaseys childhood and the political situation in the ireland during his early life murray sets them against ocaseys autobiographies in an attempt to establish ocaseys ireland the second half of ocaseys life was spent mostly outside ireland and much of his income came from the united states murray examines his rise as an international figure and contrasts his later more socialist work with his more nationalist early work christopher murray establishes ocasey as a selfmade man of letters an irrepressible fighter a man who combined political courage and innocence torn between a humanist vision of life rooted in his dublin childhood and a utopian but blinkered loyalty to the soviet union sean ocasey writer at work reconstructs a life committed to writing as a moral endeavour while acknowledging that much of ocaseys work was uneven flawed and overambitious murray argues that at its best it was infused with a passion and generosity that place it among the best bodies of drama in the twentieth centuryjacket,7
Kaya's escape,"In the fall of 1764, after Kaya and her sister are kidnapped from their Nez Percé village by enemy horse raiders, she tries to find a way to escape back home. Includes historical notes on education and learning among the Nez Percé Indians.","['Escapes', 'Fiction', 'Indians of North America', 'Kidnapping', 'Nez Percé Indians', 'Survival', 'Kidnapping -- Fiction', ""Children's fiction"", 'Kidnapping, fiction', 'Escapes, fiction', 'Survival, fiction', 'Indians of north america, nez perce indians, fiction', 'Northwest, pacific, fiction']",['Pacific Northwest'],,,,['OL28718A'],6,in the fall of 1764 after kaya and her sister are kidnapped from their nez perce village by enemy horse raiders she tries to find a way to escape back home includes historical notes on education and learning among the nez perce indians,8
The last testament of Oscar Wilde,Lively and witty; absolutely believable description of last months of Oscar Wilde which sometimes makes you forget that Wilde himself never wrote it.,"['Authors', 'Fiction', 'Gay men', 'Irish authors', 'Irish Authors', 'Wilde, oscar, 1854-1900', 'In literature']","['Great Britain', 'Paris']",['Oscar Wilde (1854-1900)'],['19th century'],,['OL21220A'],11,lively and witty absolutely believable description of last months of oscar wilde which sometimes makes you forget that wilde himself never wrote it,14
God's last offer,"Ed Ayres identifies four dangerous megaphenomena that are altering life on Earth and may destroy life as we know it: the rise of carbon gas emissions; the rate of biological extinctions; the unsustainable consumption; and the exploding human population.

God's Last Offer sorts through the jumble rumor, hyperbole, and indolence that colors our news coverage, and warns us to take heed - now. Ayres exposes the sophisticated techniques used by corporations, institutions, and governments to perpetuate public indifference. He also makes clear that the problems are of our own making God's Last Offer is just that: an offer of hope, an offer of possibility. But an offer that must be embraced immediately, before it expires.","['Environmental degradation', 'Human ecology', 'Conservation of natural resources', 'Sustainable development']",,,,,['OL21397A'],6,ed ayres identifies four dangerous megaphenomena that are altering life on earth and may destroy life as we know it the rise of carbon gas emissions the rate of biological extinctions the unsustainable consumption and the exploding human population gods last offer sorts through the jumble rumor hyperbole and indolence that colors our news coverage and warns us to take heed now ayres exposes the sophisticated techniques used by corporations institutions and governments to perpetuate public indifference he also makes clear that the problems are of our own making gods last offer is just that an offer of hope an offer of possibility but an offer that must be embraced immediately before it expires,14
MMPI-2,"xv, 335 pages : 25 cm","['Minnesota Multiphasic Personality Inventory', 'Personality', 'Psychology, pathological', 'MMPI', 'Personality assessment']",,,,,['OL19771A'],11,xv 335 pages 25 cm,5
The Magicians of Caprona,"Chrestomanci Book 2

Tonino is the only person in the famous Montana household who wasn't born with an instinct for creating spells, but he has other gifts. His ability to communicate with cats just might help defend the city of Caprona against a mysterious enchanter -- but only if Tonino can learn to cooperate with a girl from the hated Petrocchi family of spell-makers.

PerfectBound e-book exclusive extras: ""Diana Wynne Jones's The Chronicles of Chrestomanci: Nine Notes""; and our exclusive interview with Diana Wynne Jones.","['Fantasy', 'Fiction', 'Juvenile Fiction', 'Chrestomanci (fictitious character)', ""Children's fiction"", 'Magicians, fiction', 'Fantasy fiction', 'Magic', ""Children's stories"", 'Magic, fiction', 'Magicians', 'Juvenile fiction', 'Adventure and adventurers, fiction', 'Italy, fiction']",,,,,['OL31384A'],11,chrestomanci book 2 tonino is the only person in the famous montana household who wasnt born with an instinct for creating spells but he has other gifts his ability to communicate with cats just might help defend the city of caprona against a mysterious enchanter but only if tonino can learn to cooperate with a girl from the hated petrocchi family of spellmakers perfectbound ebook exclusive extras diana wynne joness the chronicles of chrestomanci nine notes and our exclusive interview with diana wynne jones,14
Yājñavalkyaśikṣā,On the correct pronunciation and accentuation of Vedic texts; includes translation in Hindi.,"['Vedic language', 'Vedas', 'Accents and accentuation', 'Phonology', 'Recitation', 'Yājñavalkyaśikśā']",,,,,['OL15060A'],5,on the correct pronunciation and accentuation of vedic texts includes translation in hindi,8
"A house on the ocean, a house on the bay","A House on the Ocean, A House on the Bay spans the heyday of Picano's life in the Pines and Manhattan during the 1960s and 1970s.

He chronicles his love affairs and the tortuous intricacies of a longtime love triangle, his hilarious misadventures as a bookstore employee (arranging a book party hosted by Jackie Onassis, lunchtime rendezvous in secret tunnels below Grand Central Station, getting framed for embezzlement!), and the thrills and agonies involved in the writing and publishing of his first novels, including Smart as the Devil and Eyes.

Picano also regales us with stories about the legendary ""Class of 1975,"" the ""Gay 2,000"" - hip, political, talented, beautiful young men who formed and molded gay culture as it exists today. AIDS eventually spread through the Pines like wildfire and about 98 percent of the ""Gay 2,000"" are now dead, but Felice Picano has lived through it all, and he gives voice to those times with humor, candor, and wistfulness.","['20th century', 'American Authors', 'Authors, American', 'Biography', 'Gay men', 'Social life and customs', 'United States', 'Fiction', 'Gays, history', 'Gays, social conditions', 'Fire island (n.y.)', 'Gays, identity', 'Authors, biography', 'Authors, american', 'Fire island (n.y. : island)', 'New york (n.y.), social life and customs', 'United states, biography']","['Fire Island (N.Y. : Island)', 'United States', 'Fire Island (N.Y.)', 'New York (State)']",['Felice Picano (1944-)'],['20th century'],,['OL28663A'],10,a house on the ocean a house on the bay spans the heyday of picanos life in the pines and manhattan during the 1960s and 1970s he chronicles his love affairs and the tortuous intricacies of a longtime love triangle his hilarious misadventures as a bookstore employee arranging a book party hosted by jackie onassis lunchtime rendezvous in secret tunnels below grand central station getting framed for embezzlement and the thrills and agonies involved in the writing and publishing of his first novels including smart as the devil and eyes picano also regales us with stories about the legendary class of 1975 the gay 2000 hip political talented beautiful young men who formed and molded gay culture as it exists today aids eventually spread through the pines like wildfire and about 98 percent of the gay 2000 are now dead but felice picano has lived through it all and he gives voice to those times with humor candor and wistfulness,7
The mouse,"Discusses the behavior, habitat, and natural enemies of mice.","['Mice', 'Juvenile literature', 'Development', 'Infancy']",,,,,['OL30877A'],6,discusses the behavior habitat and natural enemies of mice,11
Wolf Wing,"Following their marriage, Claidi and Argul are drawn back to her birthplace, the House, where yet again they are led to seek the answer to the riddle of Ustareth.","['Claidi (Fictitious character : Lee)', 'Fantasy', 'Juvenile fiction', ""Children's fiction"", 'Fantasy fiction', 'Fiction, fantasy, general']",,,,,['OL23918A'],11,following their marriage claidi and argul are drawn back to her birthplace the house where yet again they are led to seek the answer to the riddle of ustareth,14
Economics of shipping & other papers,On Indian mercantile shipping.,"['Merchant marine', 'Shipping']",['India'],,,,['OL12612A'],3,on indian mercantile shipping,13
